Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2023.52,1990
2,2310,2291.82,2291.82,2316.82,2277.87
3,2680,2593.64,2593.64,2610.12,2565.74
4,2850,2895.45,2895.45,2903.42,2853.61
5,3150,3197.27,3197.27,3196.72,3141.49
6,3460,3499.09,3499.09,3490.02,3429.36
1,3770,3800.91,3800.91,3783.32,3717.23
2,4070,4102.73,4102.73,4076.62,4005.1
3,4380,4404.55,4404.55,4369.92,4292.97
4,4680,4706.36,4706.36,4663.21,4580.84
5,4990,5008.18,5008.18,4956.51,4868.71
6,5310,5310,5310,5249.81,5156.58
1,5800,5841.94,5856.97,5849.35,5732.33
2,6120,6137.92,6150.97,6142.65,6020.2
3,6440,6433.9,6444.98,6435.95,6308.07
4,6680,6729.88,6738.98,6729.25,6595.94
5,7010,7025.86,7032.99,7022.55,6883.81
6,7340,7321.84,7327,7315.85,7171.68
1,7650,7617.82,7621,7609.15,7459.55
2,7920,7913.8,7915.01,7902.45,7747.43
3,8160,8209.78,8209.01,8195.75,8035.3
4,8500,8505.76,8503.02,8489.05,8323.17
5,8810,8801.74,8797.02,8782.35,8611.04
6,9120,9097.72,9091.03,9075.65,8898.91
1,9630,9643.54,9657.67,9662.63,9474.65
2,9920,9938.89,9951.16,9954.43,9762.52
3,10230,10234.2,10244.7,10246.2,10050.4
4,10550,10529.6,10538.2,10538,10338.3
5,10830,10824.9,10831.7,10829.8,10626.1
6,11150,11120.3,11125.1,11121.6,10914
1,11420,11415.7,11418.6,11413.4,11201.9
2,11700,11711,11712.1,11705.2,11489.8
3,11980,12006.4,12005.6,11997,11777.6
4,12310,12301.7,12299.1,12288.8,12065.5
5,12620,12597.1,12592.6,12580.6,12353.4
6,12870,12892.4,12886.1,12872.4,12641.2
1,13450,13446.7,13459.3,13455.5,13217
2,13730,13738.8,13749.8,13746.1,13504.9
3,14050,14031,14040.3,14036.8,13792.7
4,14340,14323.1,14330.8,14327.5,14080.6
5,14600,14615.2,14621.2,14618.2,14368.5
6,14890,14907.3,14911.7,14908.8,14656.3
1,15220,15199.5,15202.2,15199.5,14944.2
2,15480,15491.6,15492.6,15490.2,15232.1
3,15770,15783.7,15783.1,15780.8,15520
4,16100,16075.9,16073.6,16071.5,15807.8
5,16370,16368,16364.1,16362.2,16095.7
6,16650,16660.1,16654.5,16652.9,16383.6
1,17170,17216.7,17234.5,17226.5,16959.3
2,17510,17509.9,17525,17518.1,17247.2
3,17830,17803.1,17815.5,17809.6,17535
4,18120,18096.2,18105.9,18101.2,17822.9
5,18400,18389.4,18396.4,18392.7,18110.8
6,18670,18682.6,18686.9,18684.2,18398.7
1,18990,18975.7,18977.3,18975.8,18686.5
2,19260,19268.9,19267.8,19267.3,18974.4
3,19550,19562.1,19558.3,19558.8,19262.3
4,19860,19855.2,19848.7,19850.4,19550.1
5,20150,20148.4,20139.2,20141.9,19838
6,20450,20441.6,20429.7,20433.5,20125.9
1,21000,21010,21023.8,21036.4,20701.6
2,21330,21305.1,21314.7,21327.8,20989.5
3,21620,21600.3,21605.6,21619.2,21277.4
4,21910,21895.5,21896.5,21910.6,21565.2
5,22190,22190.7,22187.4,22202.1,21853.1
6,22450,22485.9,22478.2,22493.5,22141
1,22810,22781,22769.1,22784.9,22428.9
2,23110,23076.2,23060,23076.3,22716.7
3,23380,23371.4,23350.9,23367.7,23004.6
4,23670,23666.6,23641.7,23659.1,23292.5
5,23940,23961.7,23932.6,23950.5,23580.3
6,24260,24256.9,24223.5,24241.9,23868.2
1,24780,24801.4,24808.1,24817.4,24444
2,25080,25094.7,25099.1,25107.2,24731.8
3,25390,25388,25390.1,25397.1,25019.7
4,25700,25681.3,25681.1,25687,25307.6
5,25960,25974.6,25972,25976.9,25595.4
6,26250,26267.8,26263,26266.7,25883.3
1,26600,26561.1,26554,26556.6,26171.2
2,26890,26854.4,26845,26846.5,26459.1
3,27160,27147.7,27135.9,27136.3,26746.9
4,27450,27440.9,27426.9,27426.2,27034.8
5,27700,27734.2,27717.9,27716.1,27322.7
6,27980,28027.5,28008.8,28006,27610.5
1,28580,28574.7,28586.7,28590.4,28186.3
2,28870,28867.2,28877.6,28879.6,28474.2
3,29160,29159.7,29168.4,29168.7,28762
4,29430,29452.1,29459.3,29457.9,29049.9
5,29740,29744.6,29750.2,29747.1,29337.8
6,30020,30037.1,30041,30036.2,29625.6
1,30350,30329.6,30331.9,30325.4,29913.5
2,30600,30622.1,30622.8,30614.6,30201.4
3,30900,30914.5,30913.6,30903.8,30489.3
4,31210,31207,31204.5,31192.9,30777.1
5,31510,31499.5,31495.4,31482.1,31065
6,31800,31792,31786.2,31771.3,31352.9
1,32280,32332.3,32354.9,32346.2,31928.6
2,32580,32624.8,32645.4,32635,32216.5
3,32890,32917.4,32936,32923.9,32504.4
4,33240,33209.9,33226.5,33212.8,32792.2
5,33510,33502.5,33517,33501.7,33080.1
6,33760,33795,33807.5,33790.6,33368
1,34130,34087.6,34098,34079.4,33655.8
2,34390,34380.1,34388.6,34368.3,33943.7
3,34650,34672.7,34679.1,34657.2,34231.6
4,34960,34965.2,34969.6,34946.1,34519.5
5,35270,35257.8,35260.1,35235,34807.3
6,35560,35550.3,35550.6,35523.8,35095.2
1,36070,36095.8,36118,36108,35670.9
2,36400,36387,36408.1,36396.9,35958.8
3,36690,36678.2,36698.2,36685.7,36246.7
4,36980,36969.4,36988.3,36974.5,36534.6
5,37270,37260.5,37278.4,37263.4,36822.4
6,37570,37551.7,37568.5,37552.2,37110.3
1,37860,37842.9,37858.6,37841.1,37398.2
2,38120,38134.1,38148.7,38129.9,37686
3,38400,38425.3,38438.9,38418.8,37973.9
4,38720,38716.5,38729,38707.6,38261.8
5,39000,39007.6,39019.1,38996.5,38549.7
6,39280,39298.8,39309.2,39285.3,38837.5
